outlet_id,conflict_id,mention_count,leader,context
13,14,184.0,Netanyahu,overall
14,1,0.0,Netanyahu,overall
14,14,55.0,Netanyahu,overall
15,1,3.0,Netanyahu,overall
15,14,13.0,Netanyahu,overall
16,1,9.0,Netanyahu,overall
16,14,250.0,Netanyahu,overall
17,1,3.0,Netanyahu,overall
17,14,277.0,Netanyahu,overall
18,1,10.0,Netanyahu,overall
18,14,280.0,Netanyahu,overall
19,1,40.0,Netanyahu,overall
19,14,392.0,Netanyahu,overall
20,1,14.0,Netanyahu,overall
20,14,35.0,Netanyahu,overall
21,1,5.0,Netanyahu,overall
21,14,255.0,Netanyahu,overall
22,1,13.0,Netanyahu,overall
22,14,283.0,Netanyahu,overall
23,1,11.0,Netanyahu,overall
23,14,125.0,Netanyahu,overall
24,1,11.0,Netanyahu,overall
24,14,277.0,Netanyahu,overall
25,1,0.0,Netanyahu,overall
25,14,284.0,Netanyahu,overall
26,1,26.0,Netanyahu,overall
26,14,310.0,Netanyahu,overall
27,1,7.0,Netanyahu,overall
27,14,323.0,Netanyahu,overall
28,1,3.0,Netanyahu,overall
28,14,289.0,Netanyahu,overall
29,1,16.0,Netanyahu,overall
29,14,341.0,Netanyahu,overall
30,1,0.0,Netanyahu,overall
30,14,196.0,Netanyahu,overall
31,1,8.0,Netanyahu,overall
31,14,102.0,Netanyahu,overall
32,1,0.0,Netanyahu,overall
32,14,200.0,Netanyahu,overall
33,1,10.0,Netanyahu,overall
33,14,227.0,Netanyahu,overall
34,1,16.0,Netanyahu,overall
34,14,162.0,Netanyahu,overall
35,1,1.0,Netanyahu,overall
35,14,234.0,Netanyahu,overall
37,1,0.0,Netanyahu,overall
37,14,63.0,Netanyahu,overall
38,1,10.0,Netanyahu,overall
38,14,66.0,Netanyahu,overall
39,1,2.0,Netanyahu,overall
39,14,339.0,Netanyahu,overall
40,1,8.0,Netanyahu,overall
41,1,10.0,Netanyahu,overall
41,14,206.0,Netanyahu,overall
42,1,13.0,Netanyahu,overall
42,14,60.0,Netanyahu,overall
43,1,8.0,Netanyahu,overall
43,14,89.0,Netanyahu,overall
44,1,8.0,Netanyahu,overall
44,14,35.0,Netanyahu,overall
45,1,0.0,Netanyahu,overall
45,14,54.0,Netanyahu,overall
46,1,2.0,Netanyahu,overall
46,14,29.0,Netanyahu,overall
47,1,14.0,Netanyahu,overall
47,14,329.0,Netanyahu,overall
48,1,0.0,Netanyahu,overall
48,14,239.0,Netanyahu,overall
49,1,2.0,Netanyahu,overall
49,14,51.0,Netanyahu,overall
50,1,7.0,Netanyahu,overall
50,14,58.0,Netanyahu,overall
51,1,16.0,Netanyahu,overall
51,14,62.0,Netanyahu,overall
52,1,16.0,Netanyahu,overall
52,14,23.0,Netanyahu,overall
53,1,23.0,Netanyahu,overall
53,14,55.0,Netanyahu,overall
54,1,0.0,Netanyahu,overall
54,14,0.0,Netanyahu,overall
55,1,3.0,Netanyahu,overall
55,14,70.0,Netanyahu,overall
56,1,1.0,Netanyahu,overall
56,14,17.0,Netanyahu,overall
57,1,7.0,Netanyahu,overall
57,14,39.0,Netanyahu,overall
58,1,0.0,Netanyahu,overall
58,14,11.0,Netanyahu,overall
59,1,2.0,Netanyahu,overall
59,14,19.0,Netanyahu,overall
60,1,18.0,Netanyahu,overall
60,14,127.0,Netanyahu,overall
61,1,0.0,Netanyahu,overall
61,14,280.0,Netanyahu,overall
62,1,12.0,Netanyahu,overall
62,14,79.0,Netanyahu,overall
63,1,0.0,Netanyahu,overall
63,14,0.0,Netanyahu,overall
64,1,0.0,Netanyahu,overall
64,14,337.0,Netanyahu,overall
65,1,5.0,Netanyahu,overall
65,14,65.0,Netanyahu,overall
66,1,0.0,Netanyahu,overall
66,14,36.0,Netanyahu,overall
67,1,4.0,Netanyahu,overall
67,14,279.0,Netanyahu,overall
68,1,27.0,Netanyahu,overall
68,14,287.0,Netanyahu,overall
69,1,0.0,Netanyahu,overall
69,14,45.0,Netanyahu,overall
70,14,0.0,Netanyahu,overall
71,1,3.0,Netanyahu,overall
71,14,61.0,Netanyahu,overall
72,1,3.0,Netanyahu,overall
72,14,54.0,Netanyahu,overall
73,1,5.0,Netanyahu,overall
73,14,331.0,Netanyahu,overall
74,1,12.0,Netanyahu,overall
74,14,222.0,Netanyahu,overall
75,1,17.0,Netanyahu,overall
75,14,296.0,Netanyahu,overall
76,1,5.0,Netanyahu,overall
76,14,217.0,Netanyahu,overall
77,1,6.0,Netanyahu,overall
77,14,257.0,Netanyahu,overall
78,1,0.0,Netanyahu,overall
78,14,4.0,Netanyahu,overall
79,1,9.0,Netanyahu,overall
79,14,183.0,Netanyahu,overall
80,1,2.0,Netanyahu,overall
80,14,10.0,Netanyahu,overall
81,1,2.0,Netanyahu,overall
81,14,5.0,Netanyahu,overall
82,1,3.0,Netanyahu,overall
82,14,3.0,Netanyahu,overall
83,1,24.0,Netanyahu,overall
83,14,85.0,Netanyahu,overall
84,1,0.0,Netanyahu,overall
84,14,345.0,Netanyahu,overall
85,1,3.0,Netanyahu,overall
85,14,147.0,Netanyahu,overall
86,1,9.0,Netanyahu,overall
86,14,5.0,Netanyahu,overall
87,1,80.0,Netanyahu,overall
87,14,209.0,Netanyahu,overall
89,1,13.0,Netanyahu,overall
89,14,146.0,Netanyahu,overall
90,1,6.0,Netanyahu,overall
90,14,133.0,Netanyahu,overall
91,1,38.0,Netanyahu,overall
91,14,241.0,Netanyahu,overall
92,1,1.0,Netanyahu,overall
92,14,310.0,Netanyahu,overall
93,1,8.0,Netanyahu,overall
93,14,266.0,Netanyahu,overall
94,1,26.0,Netanyahu,overall
94,14,13.0,Netanyahu,overall
95,1,4.0,Netanyahu,overall
95,14,364.0,Netanyahu,overall
96,1,13.0,Netanyahu,overall
96,14,123.0,Netanyahu,overall
97,1,12.0,Netanyahu,overall
97,14,191.0,Netanyahu,overall
98,1,18.0,Netanyahu,overall
98,14,327.0,Netanyahu,overall
99,1,0.0,Netanyahu,overall
99,14,242.0,Netanyahu,overall
100,1,0.0,Netanyahu,overall
100,14,0.0,Netanyahu,overall
101,1,0.0,Netanyahu,overall
101,14,33.0,Netanyahu,overall
