publish_date,outlet_id,conflict_id,sentiment,sentiment_category,sentiment_intensity,article_count,normalized_sentiment
2009-01-19 00:00:00,77,14,,neutral,,1,
2009-02-10 00:00:00,57,1,0.1598484848484848,positive,0.1598484848484848,1,0.1598484848484848
2009-02-10 00:00:00,57,14,-0.0041275408405038,neutral,0.0041275408405038,1,-0.0041275408405038
2009-02-12 00:00:00,106,14,0.0637241462241462,positive,0.0637241462241462,1,0.0637241462241462
2009-02-16 00:00:00,48,14,0.0100332063769563,neutral,0.0100332063769563,1,0.0100332063769563
2009-02-26 00:00:00,106,14,0.0331519371613711,neutral,0.0331519371613711,1,0.0331519371613711
2009-03-01 00:00:00,75,14,0.0498285048285048,neutral,0.0498285048285048,1,0.0498285048285048
2009-03-19 00:00:00,106,14,0.0933527187098615,positive,0.0933527187098615,1,0.0933527187098615
2009-04-08 00:00:00,52,1,0.081060606060606,positive,0.081060606060606,1,0.081060606060606
2009-05-15 00:00:00,75,14,0.1074827999381569,positive,0.1074827999381569,1,0.1074827999381569
2009-05-18 00:00:00,106,14,-0.0259259259259259,neutral,0.0259259259259259,1,-0.0259259259259259
2009-05-27 00:00:00,76,14,-0.060501107419712,negative,0.060501107419712,1,-0.060501107419712
2009-05-30 00:00:00,15,1,0.2299999999999999,positive,0.2299999999999999,1,0.2299999999999999
2009-06-03 00:00:00,106,14,0.0384700401224791,neutral,0.0384700401224791,1,0.0384700401224791
2009-06-30 00:00:00,103,1,0.0046296296296296,neutral,0.0046296296296296,1,0.0046296296296296
2009-07-02 00:00:00,103,14,-0.0183712121212121,neutral,0.0183712121212121,1,-0.0183712121212121
2009-07-16 00:00:00,103,1,-0.0988095238095238,negative,0.0988095238095238,1,-0.0988095238095238
2009-07-17 00:00:00,8,14,0.04,neutral,0.04,1,0.04
2009-07-22 00:00:00,75,14,0.0751800534921553,positive,0.0751800534921553,1,0.0751800534921553
2009-08-04 00:00:00,77,14,,neutral,,1,
2009-08-05 00:00:00,75,14,,neutral,,1,
2009-08-09 00:00:00,64,1,0.090573593073593,positive,0.090573593073593,1,0.090573593073593
2009-08-18 00:00:00,85,1,0.0,neutral,0.0,1,0.0
2009-08-18 00:00:00,106,14,,neutral,,1,
2009-08-24 00:00:00,106,14,0.0513062407903677,positive,0.0513062407903677,1,0.0513062407903677
2009-09-09 00:00:00,75,14,0.0333333333333333,neutral,0.0333333333333333,1,0.0333333333333333
2009-09-10 00:00:00,39,14,0.0128480442860973,neutral,0.0128480442860973,1,0.0128480442860973
2009-09-11 00:00:00,83,1,0.2575,positive,0.2575,1,0.2575
2009-09-17 00:00:00,86,14,,neutral,,1,
2009-09-24 00:00:00,39,14,0.0036363636363636,neutral,0.0036363636363636,1,0.0036363636363636
2009-10-22 00:00:00,15,14,,neutral,,1,
2009-11-29 00:00:00,21,1,0.0160405643738977,neutral,0.0160405643738977,1,0.0160405643738977
2009-12-06 00:00:00,21,14,0.0537949589351458,positive,0.0537949589351458,1,0.0537949589351458
2009-12-11 00:00:00,75,14,,neutral,,1,
2009-12-22 00:00:00,103,14,0.0737442853097058,positive,0.0737442853097058,1,0.0737442853097058
2009-12-29 00:00:00,70,14,0.0696447230929989,positive,0.0696447230929989,1,0.0696447230929989
2010-02-18 00:00:00,48,14,0.0567117513334618,neutral,0.0567117513334618,2,0.0283558756667309
2010-02-22 00:00:00,48,14,0.0274127504797607,neutral,0.0274127504797607,1,0.0274127504797607
2010-02-23 00:00:00,103,14,0.0823732943469785,positive,0.0823732943469785,1,0.0823732943469785
2010-02-28 00:00:00,58,14,-0.0666666666666666,negative,0.0666666666666666,1,-0.0666666666666666
2010-03-05,64,1,,neutral,,1,
2010-03-10 00:00:00,47,14,0.0333333333333333,neutral,0.0333333333333333,1,0.0333333333333333
2010-03-14 00:00:00,77,14,0.6,positive,0.6,1,0.6
2010-03-15 00:00:00,85,14,0.0625,positive,0.0625,1,0.0625
2010-03-16 00:00:00,12,14,0.1256410256410256,positive,0.1256410256410256,1,0.1256410256410256
2010-03-21 00:00:00,48,14,0.1722222222222222,positive,0.1722222222222222,1,0.1722222222222222
2010-03-22 00:00:00,48,14,0.1050595238095238,positive,0.1050595238095238,1,0.1050595238095238
2010-03-26 00:00:00,75,14,,neutral,,1,
2010-03-31 00:00:00,77,14,0.1047719118780762,positive,0.1047719118780762,1,0.1047719118780762
2010-04-03 00:00:00,65,1,0.1215909090909091,positive,0.1215909090909091,1,0.1215909090909091
2010-04-08 00:00:00,64,1,0.0459092343035857,neutral,0.0459092343035857,1,0.0459092343035857
2010-04-09 00:00:00,77,14,,neutral,,1,
2010-04-10 00:00:00,53,1,0.02853047757028275,neutral,0.02853047757028275,4,0.0071326193925706875
2010-04-11 00:00:00,53,1,0.03265845233948675,neutral,0.03265845233948675,2,0.016329226169743374
2010-04-16 00:00:00,70,14,0.0483585858585858,neutral,0.0483585858585858,1,0.0483585858585858
